category,title,author,newspaper,time,content
2,Windows 10 release,Unknown,BBC News,12-Nov-18,"The much delayed Windows 10 October 2018 update may be hitting our PCs as soon as tomorrow, which is this month's Patch Tuesday.
The rumour is via website rg-adguard.net, who has a tool for downloading Windows 10 ISOs.  They have noticed activity on Microsoft's servers which suggest Microsoft is preparing to release the software update."
2,Microsoft ends retail sales of Windows 7 and 8,Unknown,BBC News,3-Nov-14,"Microsoft has officially stopped selling retail copies of some versions of Windows 7 and 8.
The date to stop selling the software was set some time ago and should help Microsoft move people on to more recent versions of its operating system.
Separately, statistics suggest people are finally moving away from some very old versions of Windows.
The next version of Windows, called Windows 10, is due to be released in late 2015.
Old code
From 31 October, consumers could no longer buy copies of the Home Basic, Home Premium and Ultimate versions of Windows 7. Now, Windows 8 is also no longer available. The change affects both copies bought in shops or loaded on PCs and laptops.
The current version of Windows, 8.1, will be the default version offered on PCs.
The change will take time to feed through into the market, as many PC makers have large stocks of older versions of Windows and will continue to sell PCs running the software.
Those keen to get a computer running Windows 7 will be able to ""downgrade"" from 8.1 to Windows 7 Professional but relatively few PC firms offer this option.
Gordon Kelly, writing in Forbes, said the policy revealed ""Microsoft's determination to distance itself from the original form of Windows 8"" despite it being released just over two years ago.
The original version of Windows 8 did not prove popular because it did away with some familiar elements of the desktop version of the operating system.
By contrast, he said, Windows 7 has been available since late 2009 and is still very popular among users. About 53% of Windows users are on the various editions of Version 7 of Windows, he said. The more recently released Windows 8 has only grabbed a 6% market share and has already been surpassed by 8.1, said Mr Kelly.
The change will also clear the path for the arrival of Windows 10, he added.
Separately, market analysis reveals that the numbers of people using the venerable Windows XP operating system has suddenly seen a sharp decline. Data from Netmarketshare suggests that in October this year its share dropped from almost 24% to just over 17%. It is not yet clear what was behind the fall."
2,Microsoft gives up on Windows 10 Mobile,Leo Kelion,BBC News,9-Oct-17,"Microsoft appears to have abandoned its smartphone operating system ambitions.
The company's Windows 10 chief has tweeted that developing new features and hardware for the Mobile version of the OS was no longer a ""focus"".
Joe Belfiore added that he had also switched to Android himself.
Windows 10 Mobile tried to attract users by letting them run the same ""universal apps"" on both their PCs and handsets, but the concept failed to catch on.
The OS accounted for just 0.03% of the global market - based on smartphone shipments - between April and June, according to research company IDC.
The market intelligence provider said the news had been a long time coming.
""There wasn't a wide range of devices running Windows 10 Mobile, so it wasn't attractive to retailers or operators,"" said IDC's Francisco Jeronimo.
""And from a consumer perspective, the operating system didn't provide as good an experience as Android or iOS.""
Mr Belfiore began a series of tweets on Sunday by discussing the recent launch of a test version of Microsoft's Edge web browser for Android and iOS - the latest in a series of releases of its core software for rival mobile platforms.
He then went on to respond to questions about whether there was any point sticking with Windows 10 Mobile.
He said that while Microsoft would support the ""many companies"" that had adopted the platform, he had switched to Android for the diversity of its apps and hardware.
""Of course we'll continue to support the platform... bug fixes, security updates, et cetera,"" he said.
""But building new features or hardware is not the focus.""
Mr Belfiore posted Microsoft had tried ""very hard"" to incentivise other companies to release universal apps - even writing their software for them in some cases - but the number of users had been too low for most to bother.
The announcement comes a week after HP had said it no longer planned to release further Windows 10 Mobile handsets, and a fortnight after Microsoft co-founder Bill Gates disclosed that he had already made the switch to Android.
However, some manufacturers - including the UK's Wileyfox and Germany's TrekStor - had unveiled new models powered by Windows 10 Mobile as recently as last month.
""Most Microsoft applications are now available and supported on other mobile operating systems,"" said Mr Jeronimo.
""After Satya Nadella took over [as chief executive], that clearly became the strategy - and after that happened what incentive was there to buy a Windows-powered phone?""
However, Microsoft may not have given up on powering smartphones altogether.
Earlier this year, Windows Central reported the company was working on a new version of Windows 10 - codenamed Andromeda - that would run on all types of computer and make it possible for third-party apps to adapt without having to code a special ""universal"" version.
It said the OS was due for release next year, but suggested the code would not be offered as an upgrade to existing Windows 10 Mobile devices.
A spokeswoman for Microsoft was unable to provide further comment."
6,Kodak sale of flexographic packaging business,Ciara Linnane,CNN News,12-Nov-18,"Eastman Kodak Co.'s shares KODK, +18.45% soared 13% in premarket trade Monday, after the company said it has reached a deal to sell its Flexographic Packaging division to Montagu Private Equity LLP for $390 million in proceeds. The business will be run as a new standalone company on closing and will develop, manufacture and sell flexographic product, including its flagship Kodak Flexcel NX System to the packing print market. Flexography is a printing process that uses a flexible relief plate, similar to a letterpress that can be used on most materials. The deal is expected to close in the first half of 2019. Kodak is planning to use the proceeds to reduce debt. Kodak said it will continue to serve the print industry by focusing on enterprise inkjet, workflow software and brand licensing. Shares have fallen 0.3% in 2018 through Friday, while the S&P 500 SPX, -1.97% has gained 4%."
6,"Private messages from 81,000 hacked Facebook accounts for sale",Andrei Zakharov,BBC News,2-Nov-18,"Hackers appear to have compromised and published private messages from at least 81,000 Facebook users' accounts.
The perpetrators told the BBC Russian Service that they had details from a total of 120 million accounts, which they were attempting to sell, although there are reasons to be sceptical about that figure.
Facebook said its security had not been compromised.
And the data had probably been obtained through malicious browser extensions."
6,Xiaomi criticised for UK smartphone $1 flash sale,Leo Kelion,BBC News,12-Nov-18,"""Flash sales"" publicising a Chinese smartphone company's UK launch have sparked a backlash on social media.
Xiaomi advertised two of its new handsets for $1 each last week as part of a ""crazy deals"" promotion.
But it has emerged that each flash sale involved only two or three phones and Xiaomi had set its website to say: ""Sold out,"" as soon as the sale opened.
The UK's ads watchdog said it had received a complaint and was now deciding whether to investigate.
Xiaomi said it hoped customers would not be discouraged from taking part in future campaigns."
7,Tesla names Robyn Denholm as chair to replace Elon Musk,Unknown,BBC News,8-Nov-18,"Tesla has named an Australian executive as its new chairman after Elon Musk was forced to give up the role.
Robyn Denholm, the finance chief of Australian telecoms firm Telstra, takes over from the electric car maker's founder, who remains chief executive.
Mr Musk agreed to step down as chair last month to resolve claims of fraud brought by US financial regulators. 
The settlement requires Tesla to install an independent chairman, among other penalties.
The announcement scotches reports that James Murdoch was the frontrunner for the job.
Tesla has endured a difficult few months, following comments Mr Musk made on social media in early August suggesting he had ""funding secured"" for a deal to take Tesla private."
7,Car sales drop leaves borrowing growth rate at three-year low,Unknown,BBC News,29-Oct-18,"A fall in new car sales has fuelled a slow down in borrowing by consumers, the Bank of England said.
Its data showed that the annual growth rate in consumer credit slowed to 7.7% in the year to September. This is down from 8.2% in August - and the weakest pace since June 2015. 
The amount of borrowing in September fell to $800m, in part because of the fall in demand for car finance.
New car sales fell 20.5% in September, data has shown.
The Society of Motor Manufacturers and Traders' figures published earlier this month showed sales of petrol and diesel cars fell, while those of hybrids and plug-in electric rose by just 3.9%."
7,"Meet the new, profitable, Tesla",Chris Isidore,CNN News,26-Oct-18,"New York (CNN Business)Over the last 10 years Tesla CEO Elon Musk has been promising Wall Street that his electric car company would eventually make money.
Wednesday he finally made good on that promise. Shares closed up 9% Thursday after the company posted its best quarter ever the previous evening.
The big question now is whether the company can remain profitable.
Tesla's strong report showed that overall manufacturing costs for each vehicle declined by 30%. The number hours it takes to build each car fell too.
That was enough for skeptical Tesla analyst Garrett Nelson to change his tune.
""The results look to be sustainable going forward,"" the CFRA Research analyst said.
Nelson upgraded his recommendation on the stock after the earnings report. He said he is now confident that Telsa will be able to continue to reduce its costs.
Tesla's (TSLA) stock had lost about a third of its value since hitting a record high of $385 a year ago.
The stock has been dogged by concerns that the company couldn't hit production targets, was burning through too much cash and was facing looming debt payments.
Musk promised investors for months that the company would be profitable in the second half of 2018, but Wall Street had become very skeptical.
""We had our doubts,"" Nelson said. ""This is a company that has a long history of overpromising and under delivering.""
Tesla's profitability comes just in the nick of time because $1.7 billion in debt is due by November of next year.
The company that was burning through funds reported that its cash reserves increased by $731 million during the quarter.
Musk told analysts that going forward, his company will be adding to its cash reserves instead of burning through money to boost production.
""I said before that we must prove that Tesla can be sustainably profitable,"" he told analysts Wednesday. ""This quarter was an important step towards that and I'm incredibly excited about what lies ahead.""
Gene Munster, a leading tech analyst with Loup Ventures, said its good to see the focus return to Tesla's business and not on Musk's erratic behavior.
In August, Musk tweeted a plan to take the company private, only to drop the plan less than three weeks later. The Securities and Exchange Commission fined him $20 million and required him to give up the chairman post because of a false statement that he had ""funding secured"" for such a move when he did not.
Musk also drank alcohol and smoked pot on a podcast, maligned a man who helped in the rescue of a Thai soccer team trapped in a cave, and lambasted analysts on a conference call.
The behavior spooked many investors, and Munster said he's not sure the great quarter will be enough by itself to convince everyone that the company is a safe investment.
""I think it was the important step they've taken, but we're not out of the woods yet,"" Munster said.
Morgan Stanley auto analyst Adam Jonas, who still has a neutral rating on the stock, said that he and other investors will want to see Tesla repeat this performance in the fourth quarter and beyond before the stock can regain some of the ground it lost in the last year.
But even one of Tesla's harsher critics has said he expects that Tesla's stock will now start to regain lost ground. John Thompson CEO of hedge fund Vilas Capital Management, said he has now closed his short positions which bet on a continued decline in the price of the stock.
""My estimates of their demise have been greatly exaggerated,"" he said. ""In the long run it doesn't change anything. But in the short run they've pulled the rabbit out the hat."""
8,Festival of Motorcycling: John McGuinness impresses on TT return,Unknown,BBC News,24-Aug-18,"John McGuinness has continued to impress on his Isle of Man TT comeback at the Festival of Motorcycling.
Despite missing two years with injuries suffered in 2016's North West 200, the Morecambe racer, 46, again topped the Senior Classic TT times at 106.585mph.
Riders gained some much-needed track time after three days of poor weather led to several cancelled sessions.
Meanwhile, local racer Dan Sayle recorded the fastest lap of the evening in the Lightweight class at 109.406mph.
Several other Classic TT racers including Charles Rhys Hardisty, Jamie Coward, Ian Lougher and Maria Costello also recorded 100mph laps on the night.
The Festival of Motorcycling incorporates both the Classic TT and Manx Grand Prix events.
Manx Grand Prix competitors' practice followed the TT sessions but was cut short due to rain with Dave Lumsden quickest at 107.56mph.
Practice will continue during Friday ahead of Saturday's opening Classic TT races."
